City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Victor Harbor,AU,-35.5667,138.6167,61.0,65,23,1.01,few clouds
267,Thompson,CA,55.7435,-97.8558,50.16,76,40,2.3,scattered clouds
268,Lexington Park,US,38.2668,-76.4538,65.64,93,0,3.44,clear sky
269,Waitati,NZ,-45.75,170.5667,52.81,66,62,5.61,broken clouds
270,Fortuna,US,40.5982,-124.1573,54.66,86,35,2.68,scattered clouds
271,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,40,17.27,scattered clouds
272,Leningradskiy,RU,69.3833,178.4167,35.6,99,100,14.97,light rain
273,Sikasso,ML,10.9167,-7.0,72.81,92,97,2.71,overcast clouds
274,Ancud,CL,-41.8697,-73.8203,37.22,78,47,6.85,scattered clouds
275,Tiarei,PF,-17.5333,-149.3333,78.82,66,11,24.27,few clouds
276,Warrensburg,US,38.7628,-93.7361,71.56,62,0,8.05,clear sky
277,Mao,ES,39.8885,4.2658,72.16,78,40,11.5,scattered clouds
278,Bambanglipuro,ID,-7.95,110.2833,83.91,63,93,14.76,overcast clouds
279,Hoa Binh,VN,20.8133,105.3383,82.9,85,99,3.11,overcast clouds
280,Matamoros,MX,25.5333,-103.25,79.11,52,3,14.47,clear sky
281,Diplo,PK,24.4667,69.584,83.34,69,100,18.01,overcast clouds
282,Kahului,US,20.8947,-156.47,84.22,65,0,10.36,clear sky
283,Orbetello,IT,42.4408,11.2196,64.42,88,4,8.05,clear sky
284,Ileza,RU,61.0533,43.9002,48.45,93,100,12.01,light rain
285,Vangaindrano,MG,-23.35,47.6,69.26,85,93,7.63,light rain
286,Jacmel,HT,18.2342,-72.5347,82.24,77,100,3.91,overcast clouds
287,Kieta,PG,-6.2167,155.6333,84.07,68,98,4.47,overcast clouds
288,Jiazi,CN,22.8779,116.067,87.42,57,4,7.05,clear sky
289,Nueva Loja,EC,0.0847,-76.8828,67.3,99,100,1.16,overcast clouds
290,Hammerfest,NO,70.6634,23.6821,45.05,100,100,16.11,light rain
291,Sola,VU,-13.8833,167.55,81.12,73,20,20.04,few clouds
